di,case_num,date,block,iucr,type,description,loc_descrip,arrest,domestic,beat,district,ward,community,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
22828,HZ464882,10/7/2016 13:15,015XX N LECLAIRE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2533,25,37,25,01A,1142090,1909829,2016,10/14/2016 16:07,41.90863227,-87.7534693,"(41.908632274, -87.753469298)"
22829,HZ465437,10/7/2016 18:45,030XX S DR MARTIN LUTHER KING JR DR,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,TRUE,133,1,4,35,01A,1179408,1885031,2016,10/14/2016 16:07,41.83981113,-87.61714191,"(41.83981113, -87.617141911)"
22844,HX419637,4/15/2016 0:01,027XX N MEADE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2512,25,29,19,01A,,,2016,10/14/2016 16:07,,,
22830,HZ466346,10/8/2016 21:25,007XX N SPRINGFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1112,11,27,23,01A,1150259,1904558,2016,10/15/2016 15:46,41.89401266,-87.72359769,"(41.894012661, -87.723597692)"
22832,HZ467045,10/9/2016 5:32,048XX S BISHOP ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,933,9,20,61,01A,1167483,1872669,2016,10/16/2016 15:51,41.80615304,-87.66125616,"(41.806153044, -87.661256155)"
22833,HZ467795,10/9/2016 20:28,039XX W GLADYS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1132,11,28,26,01A,1150173,1898065,2016,10/16/2016 15:51,41.87619685,-87.72408285,"(41.876196845, -87.724082848)"
22834,HZ467854,10/9/2016 21:08,017XX N MAYFIELD AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2531,25,29,25,01A,1136817,1911053,2016,10/16/2016 15:51,41.91208726,-87.77281067,"(41.912087261, -87.772810665)"
22835,HZ468755,10/10/2016 18:01,070XX S SANGAMON ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,733,7,17,68,01A,1171192,1858070,2016,10/17/2016 15:51,41.76601133,-87.64807965,"(41.766011328, -87.648079645)"
22836,HZ469270,10/11/2016 1:07,018XX N LARAMIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2532,25,37,25,01A,1141439,1911652,2016,10/18/2016 15:59,41.91364684,-87.7558157,"(41.91364684, -87.755815697)"
22837,HZ470314,10/11/2016 18:09,025XX N KOSTNER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,2524,25,31,20,01A,1146604,1916845,2016,10/18/2016 15:59,41.92779993,-87.73670756,"(41.927799934, -87.73670756)"
22838,HZ334543,7/5/2016 17:45,080XX S PULASKI RD,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,834,8,13,70,01A,,,2016,10/19/2016 15:51,,,
22840,HZ472044,10/12/2016 23:56,074XX S CHAPPEL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,333,3,5,43,01A,1191175,1855739,2016,10/19/2016 15:51,41.75915467,-87.57491127,"(41.759154666, -87.574911274)"
22845,HZ437538,10/12/2016 2:48,055XX W CORTEZ ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1524,15,37,25,01A,1139134,1906452,2016,10/19/2016 15:51,41.89941971,-87.76441064,"(41.899419707, -87.764410643)"
22841,HZ456675,10/13/2016 3:25,025XX S SACRAMENTO AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1033,10,12,30,01A,1156761,1887172,2016,10/20/2016 15:52,41.84617442,-87.70018881,"(41.846174416, -87.700188806)"
22842,HZ473311,10/13/2016 23:28,015XX S KOMENSKY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1012,10,24,29,01A,1149638,1892063,2016,10/20/2016 15:52,41.85973706,-87.72620306,"(41.859737058, -87.72620306)"
